"slug","brand","product_name","score","priority","existing_english","selected_phase2","index_ready","official_source","official_link","concentration","sizes","notes_complete","release_year","family","scenes","seasons","editorial_guidance","verified_at","japan_purchasable","safe_link","rakuten_link","moshimo_link","official_price","rakuten_price","missing_required"
"jo-malone-2","Jo Malone","イングリッシュ ペアー & フリージア","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"jo-malone-3","Jo Malone","ピオニー & ブラッシュ スエード","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"jo-malone-4","Jo Malone","ウッドセージ & シーソルト","20","P1","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"le-labo-1","Le Labo","サンタル 33","20","P1","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"maison-margiela-1","Maison Margiela","レプリカ ジャズクラブ","20","P1","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"prada-2","Prada","ルオム","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"tom-ford-2","Tom Ford","オード ウッド","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"tom-ford-3","Tom Ford","ブラック オーキッド","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"creed-1","Creed","アバントゥス","19","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no",""
"prada-1","Prada","キャンディ","19","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no",""
"guerlain-3","Guerlain","ミツコ","19","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"bvlgari-2","Bvlgari","ブルガリ プールオム","18","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no",""
"byredo-1","Byredo","ジプシー ウォーター","18","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no",""
"acqua-di-parma-1","Acqua di Parma","コロニア","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"azzaro-1","Azzaro","プール オム","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"calvin-klein-1","Calvin Klein","エタニティ フォーメン","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"dolce-gabbana-1","Dolce&Gabbana","ライト ブルー プールオム","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"giorgio-armani-2","Giorgio Armani","アルマーニ コード","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
